测试类型,标准问题,测试问题,关键词,关键词命中率,数字匹配率,准确,响应时间
合成问题,住院手术需要装起搏器，怎么申请理赔？ + 特药理赔怎么申请？,住院手术需要装起搏器，怎么申请理赔，另外特药理赔怎么申请,"起搏器,住院理赔,特药",50%,100%,是,6751ms
合成问题,特药理赔怎么申请？ + 可以为他人进行理赔报案吗？,特药理赔怎么申请，另外可以为他人进行理赔报案吗,"特药,理赔流程,他人理赔",25%,100%,是,3530ms
合成问题,可以为他人进行理赔报案吗？ + 免赔额不是按年算吗，为什么还,可以为他人进行理赔报案吗，另外免赔额不是按年算吗，为什么还有,"他人理赔,代报案,免赔额定义",25%,33%,是,9339ms
合成问题,免赔额不是按年算吗，为什么还有免赔额 + 日间免赔只自费部分,免赔额不是按年算吗，为什么还有免赔额，另外日间免赔只自费部分,"免赔额定义,免赔额含义,免赔额",25%,46%,是,15361ms
合成问题,日间免赔只自费部分吗，我2024年跟明天俩次手术要分两次赔付,日间免赔只自费部分吗，我2024年跟明天俩次手术要分两次赔付,"免赔额,自付部分,免赔额定义",50%,71%,是,10118ms
合成问题,未达免赔额是什么意思 + 请问免赔额是多少,未达免赔额是什么意思，另外请问免赔额是多少,"免赔额定义,免赔额含义,免赔额金额",50%,80%,是,7717ms
合成问题,请问免赔额是多少 + 我看保单上有门诊手术免赔额是1000元,请问免赔额是多少，另外我看保单上有门诊手术免赔额是1000元,"免赔额金额,免赔额数额,门诊手术",50%,75%,是,10936ms
合成问题,我看保单上有门诊手术免赔额是1000元。 + 快赔系统没带出,我看保单上有门诊手术免赔额是1000元。，另外快赔系统没带出,"门诊手术,免赔额,免赔额",0%,0%,否,1560ms
合成问题,快赔系统没带出来这一段时间的就诊记录，走的传统通道 + 那个,快赔系统没带出来这一段时间的就诊记录，走的传统通道，另外那个,"免赔额,赔付比例,直赔",0%,0%,否,1131ms
合成问题,那个直赔怎么没有报销 + 南京鼓楼医院南部院区住院可以直赔吗,那个直赔怎么没有报销，另外南京鼓楼医院南部院区住院可以直赔吗,"直赔,没有报销,南京鼓楼医院",75%,0%,是,8171ms
合成问题,南京鼓楼医院南部院区住院可以直赔吗？ + 直赔登记怎么登记,南京鼓楼医院南部院区住院可以直赔吗，另外直赔登记怎么登记,"南京鼓楼医院,直赔,直赔登记",75%,100%,是,7088ms
合成问题,直赔登记怎么登记 + 宁惠保的免赔额是如何计算的？,直赔登记怎么登记，另外宁惠保的免赔额是如何计算的,"直赔登记,如何登记,免赔额计算",25%,100%,是,6806ms
合成问题,宁惠保的免赔额是如何计算的？ + 麻烦把家庭被保人陈玉琴也一,宁惠保的免赔额是如何计算的，另外麻烦把家庭被保人陈玉琴也一并,"免赔额计算,免赔额算方法,退保",0%,0%,否,3394ms
合成问题,麻烦把家庭被保人陈玉琴也一并退保 + 如何办理退保手续？,麻烦把家庭被保人陈玉琴也一并退保，另外如何办理退保手续,"退保,家庭成员,退保",50%,0%,是,3206ms
合成问题,如何办理退保手续？ + 如何取消自动续费,如何办理退保手续，另外如何取消自动续费,"退保,取消保险,取消自动续费",50%,100%,是,7274ms
合成问题,如何取消自动续费 + 这款产品的犹豫期有多久？,如何取消自动续费，另外这款产品的犹豫期有多久,"取消自动续费,退保,犹豫期",50%,100%,是,6556ms
合成问题,这款产品的犹豫期有多久？ + 如何取消自动续保,这款产品的犹豫期有多久，另外如何取消自动续保,"犹豫期,冷静期,取消自动续保",50%,100%,是,5927ms
合成问题,如何取消自动续保 + 取消自动续保这个,如何取消自动续保，另外取消自动续保这个,"取消自动续保,关闭续保,取消自动续保",50%,100%,是,5716ms
合成问题,取消自动续保这个 + 退保的费用是怎么计算的？,取消自动续保这个，另外退保的费用是怎么计算的,"取消自动续保,退保,退保",75%,100%,是,9239ms
合成问题,退保的费用是怎么计算的？ + 怎么取消续保功能,退保的费用是怎么计算的，另外怎么取消续保功能,"退保,退款,取消续保",50%,100%,是,5552ms
合成问题,怎么取消续保功能 + 请问门诊双通道的药品可以报销吗？,怎么取消续保功能，另外请问门诊双通道的药品可以报销吗,"取消续保,自动续保,门诊双通道",50%,0%,是,7684ms
合成问题,请问门诊双通道的药品可以报销吗？ + 门特门诊医保可以报销的,请问门诊双通道的药品可以报销吗，另外门特门诊医保可以报销的,"门诊双通道,药品报销,门特门诊",25%,33%,是,8284ms
合成问题,门特门诊医保可以报销的 + 你好我想问下门诊双通道现在也可以,门特门诊医保可以报销的，另外你好我想问下门诊双通道现在也可以,"门特门诊,医保报销,门诊双通道",25%,100%,是,9844ms
合成问题,你好我想问下门诊双通道现在也可以报销吗 + 那我刚才看你们的,你好我想问下门诊双通道现在也可以报销吗，另外那我刚才看你们的,"门诊双通道,是否可报销,门诊",50%,73%,是,9753ms

问题类型,测试数量,准确数量,准确率
标准问题,253,173,68%
相似问题,253,182,72%
合成问题,252,235,93%
总体,758,590,78%
